"cruise","datetime_utc","datetime_utc_input","latitude_input","longitude_input","latitude_API","longitude_API","toi_source","gop","ncp","ncp_per_gop","iode_quality_flag"
"EN661",2021-02-03 19:05:52,2021-02-03 18:52:00,41.1993,-70.8809,41.19612,-70.87741,"toi_niskin",73.89,18.78,0.254,1
"EN661",2021-02-04 02:03:36,2021-02-04 01:50:00,41.0298,-70.8875,41.03084,-70.8889,"toi_niskin",61.87,-15.32,-0.248,1
"EN661",2021-02-04 08:06:00,2021-02-04 08:06:00,40.6968,-70.6578,40.6968,-70.6578,"toi_underway",117.4,21.09,0.18,1
"EN661",2021-02-04 08:26:00,2021-02-04 08:26:00,40.6962,-70.7235,40.6962,-70.7235,"toi_underway",85.12,23.97,0.282,1
"EN661",2021-02-04 09:01:46,2021-02-04 08:53:00,40.6976,-70.7734,40.69762,-70.77436,"toi_niskin",91.87,21.66,0.236,1
"EN661",2021-02-04 09:38:00,2021-02-04 09:38:00,40.6972,-70.8293,40.6972,-70.8293,"toi_underway",96.28,23.76,0.247,1
"EN661",2021-02-04 09:55:00,2021-02-04 09:55:00,40.6966,-70.8837,40.6966,-70.8837,"toi_underway",211.3,27.47,0.13,1
"EN661",2021-02-04 10:13:00,2021-02-04 10:13:00,40.6959,-70.9417,40.6959,-70.9417,"toi_underway",102.4,22.75,0.222,1
"EN661",2021-02-04 10:45:39,2021-02-04 10:36:00,40.6971,-70.9925,40.6979,-70.99624,"toi_niskin",133.9,17.97,0.134,1
"EN661",2021-02-04 11:41:00,2021-02-04 11:41:00,40.6965,-71.1007,40.6965,-71.1007,"toi_underway",205.1,24.75,0.121,1
"EN661",2021-02-04 13:11:18,2021-02-04 12:58:00,40.6975,-70.884,40.69633,-70.8877,"toi_niskin",260.4,39.1,0.15,1
"EN661",2021-02-04 13:11:18,2021-02-04 12:58:00,40.6975,-70.884,40.69633,-70.8877,"toi_niskin",197,40.98,0.208,1
"EN661",2021-02-04 13:14:00,2021-02-04 13:14:00,40.6964,-70.8883,40.6964,-70.8883,"toi_underway",231.6,38.29,0.165,1
